# Job running on    4 total cores
# File reading...  : WAVECAR                                                                                                                                                                                                                                                         
# TOTAL RECORD LENGTH =    139328
# ISPIN            :      1 (LSORBIT = .TRUE.)
# ENCUT (eV)       :    270.0000
# NKPOINT          :     36
#  K-GRID          :      6   X   6
# NBANDS           :    192
# RECIVEC B1 (A^-1):      1.449074     0.836623    -0.000000
# RECIVEC B2       :      0.000000     1.673247     0.000000
# RECIVEC B3       :      0.000000    -0.000000     0.118795
#  dk^2 = |dk1xk2| =      0.067352
  
# Chern Number for the BANDS :    1    -   123
# Chern Number is sum of Berry Curvature over 1BZ
# Chern Number =            -1.0000
# MAXVAL of BERRYCURV at kx,ky,kz (in reci)=           0.2500          0.0833          0.0000          0.3955
# MINVAL of BERRYCURV at kx,ky,kz (in reci)=           0.0833         -0.0833          0.0000        -30.5884
# Berry Curvature (A^2) :-Im[logPI_S(det(S(K_s,K_s+1)))]/dk^2
# (cart) kx        ky        kz(A^-1)   Berry Curvature (A^2),   (recip)kx        ky        kz
  -1.086806   0.906342   0.000000                  -1.2698              -0.750000   0.916667   0.000000
  -1.086806   0.627468   0.000000                   0.3807              -0.750000   0.750000   0.000000
  -1.086806   0.348593   0.000000                   0.2519              -0.750000   0.583333   0.000000
  -1.086806   0.069719   0.000000                  -0.0362              -0.750000   0.416667   0.000000
  -1.086806  -0.209156   0.000000                  -0.0107              -0.750000   0.250000   0.000000
  -1.086806  -0.488030   0.000000                   0.3955              -0.750000   0.083333   0.000000
  -1.086806  -0.766905   0.000000                  -1.2698              -0.750000  -0.083333   0.000000
  -1.086806  -1.045779   0.000000                   0.3807              -0.750000  -0.250000   0.000000
  -1.086806  -1.324654   0.000000                   0.2519              -0.750000  -0.416667   0.000000
  -1.086806  -1.603528   0.000000                  -0.0362              -0.750000  -0.583333   0.000000
  -1.086806  -1.882403   0.000000                  -0.0107              -0.750000  -0.750000   0.000000
  -1.086806  -2.161277   0.000000                   0.3955              -0.750000  -0.916667   0.000000
  -1.086806  -2.440151   0.000000                  -1.2698              -0.750000  -1.083333   0.000000
  -1.086806  -2.719026   0.000000                   0.3807              -0.750000  -1.250000   0.000000
  -1.328318   1.882403   0.000000                   0.3819              -0.916667   1.583333   0.000000
  -1.328318   1.603528   0.000000                   0.2279              -0.916667   1.416667   0.000000
  -1.328318   1.324654   0.000000                   0.3955              -0.916667   1.250000   0.000000
  -1.328318   1.045779   0.000000                 -16.7545              -0.916667   1.083333   0.000000
  -1.328318   0.766905   0.000000                 -30.5884              -0.916667   0.916667   0.000000
  -1.328318   0.488030   0.000000                  -1.2698              -0.916667   0.750000   0.000000
  -1.328318   0.209156   0.000000                   0.3819              -0.916667   0.583333   0.000000
  -1.328318  -0.069719   0.000000                   0.2279              -0.916667   0.416667   0.000000
  -1.328318  -0.348593   0.000000                   0.3955              -0.916667   0.250000   0.000000
  -1.328318  -0.627468   0.000000                 -16.7545              -0.916667   0.083333   0.000000
  -1.328318  -0.906342   0.000000                 -30.5884              -0.916667  -0.083333   0.000000
  -1.328318  -1.185216   0.000000                  -1.2698              -0.916667  -0.250000   0.000000
  -1.328318  -1.464091   0.000000                   0.3819              -0.916667  -0.416667   0.000000
  -1.328318  -1.742965   0.000000                   0.2279              -0.916667  -0.583333   0.000000
  -1.328318  -2.021840   0.000000                   0.3955              -0.916667  -0.750000   0.000000
  -1.328318  -2.300714   0.000000                 -16.7545              -0.916667  -0.916667   0.000000
  -1.328318  -2.579589   0.000000                 -30.5884              -0.916667  -1.083333   0.000000
  -1.328318  -2.858463   0.000000                  -1.2698              -0.916667  -1.250000   0.000000
  -1.569830   1.742965   0.000000                   0.2279              -1.083333   1.583333   0.000000
  -1.569830   1.464091   0.000000                   0.3819              -1.083333   1.416667   0.000000
  -1.569830   1.185216   0.000000                  -1.2698              -1.083333   1.250000   0.000000
  -1.569830   0.906342   0.000000                 -30.5884              -1.083333   1.083333   0.000000
  -1.569830   0.627468   0.000000                 -16.7548              -1.083333   0.916667   0.000000
  -1.569830   0.348593   0.000000                   0.3955              -1.083333   0.750000   0.000000
  -1.569830   0.069719   0.000000                   0.2279              -1.083333   0.583333   0.000000
  -1.569830  -0.209156   0.000000                   0.3819              -1.083333   0.416667   0.000000
  -1.569830  -0.488030   0.000000                  -1.2698              -1.083333   0.250000   0.000000
  -1.569830  -0.766905   0.000000                 -30.5884              -1.083333   0.083333   0.000000
  -1.569830  -1.045779   0.000000                 -16.7548              -1.083333  -0.083333   0.000000
  -1.569830  -1.324654   0.000000                   0.3955              -1.083333  -0.250000   0.000000
  -1.569830  -1.603528   0.000000                   0.2279              -1.083333  -0.416667   0.000000
  -1.569830  -1.882403   0.000000                   0.3819              -1.083333  -0.583333   0.000000
  -1.569830  -2.161277   0.000000                  -1.2698              -1.083333  -0.750000   0.000000
  -1.569830  -2.440151   0.000000                 -30.5884              -1.083333  -0.916667   0.000000
  -1.569830  -2.719026   0.000000                 -16.7548              -1.083333  -1.083333   0.000000
  -1.569830  -2.997900   0.000000                   0.3955              -1.083333  -1.250000   0.000000
